,x,y,var1,var2,proj_var1,proj_var2,threshold,dist_frm_orig,threshold2,threshold_var1,threshold_var2,var1_mean,var2_mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.02247191,0.719101124,-2.460592538,-4.079591267,-2.43991773543862,-4.1103763785444505,1,8.63824403629271,2,32,22,-2.8211064,-4.3031707,5.4307635e-11,0.867143,0.13212006,0.00073180976,5.146024e-06,5.8327267e-08,5.97564e-11,3.9439922e-13,1.639788e-17,7.556021e-26,1.744112e-27,2.7340747e-18,0.0,0.0,5.90036e-37,0.0,0.0,0.0,0.0,0.0
1,0.04494382,0.797752809,-3.0569027810000002,-4.681486523,-3.12945324951488,-4.57345771550825,1,14.210587641991301,3,28,19,-3.6196203,-5.0859365,5.694775e-11,3.9218885e-06,0.048257176,0.8793526,0.06994285,0.0023970632,4.57168e-05,5.76832e-07,5.5923238e-11,2.9232658e-16,3.1840495e-17,5.2060387e-16,5.2262237e-28,9.21112e-36,7.902752e-33,3.1981518e-36,9.362142e-35,0.0,0.0,0.0
2,0.0,0.8426966290000001,-3.80660207,-5.41886604,-3.98740629907827,-5.14964565236345,1,23.070450890757197,5,24,15,-3.935874,-5.5914664,3.5440817e-19,1.534597e-15,2.2014137e-06,0.00060507114,0.28392386,0.62230563,0.0930476,0.00011564671,4.9462745e-10,5.9397587e-16,8.155365e-15,2.0458451e-17,3.0195272e-26,0.0,2.0152928e-35,0.0,4.7254694e-37,0.0,0.0,0.0
3,0.93258427,0.7078651690000001,-3.02920503,-4.408601013,-2.98406408039078,-4.47581660864193,1,12.920859122079598,3,29,20,-3.2228467,-4.658732,5.268224e-11,0.3129669,0.67480725,0.01206898,0.00015204026,4.716611e-06,2.67257e-09,1.8286024e-10,3.7781817e-14,3.3549204e-22,6.194667e-25,3.1539767e-15,1.588724e-36,0.0,3.462253e-35,0.0,3.7759406e-37,0.0,0.0,0.0
4,0.943820225,0.04494382,-3.257951484,-5.119515194,-3.4707442107377497,-4.802663421944519,1,17.479150312976998,4,27,16,-3.3850458,-5.134485,1.7340572e-13,3.780399e-05,0.55091536,0.35065496,0.09340651,0.004981316,4.037744e-06,8.1583795e-10,8.097395e-17,2.0526513e-25,5.786769e-25,4.0788777e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.853932584,0.6179775279999999,-3.638114878,-4.8444327739999995,-3.6054229531949704,-4.8931115726844405,1,18.8619912819972,4,25,18,-3.7891083,-4.914428,2.9981366e-23,2.8679318e-16,5.2921358e-05,0.009922083,0.78052807,0.20909765,0.0003992598,4.5652744e-09,8.877625e-18,1.7381127e-27,3.036159e-26,2.1939306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.662921348,1.0,-4.284828264,-5.709579581,-4.45153653191571,-5.46134830488834,1,28.753782603808,7,22,13,-4.467346,-5.7859416,5.82174e-22,2.4637205e-19,2.1476725e-09,2.162798e-07,0.013974313,0.24882859,0.73662716,0.00056960766,3.4599587e-08,1.7336806e-13,1.3783156e-11,2.5580996e-15,3.289997e-21,7.3297066e-35,2.8552243e-31,3.7134255e-34,9.697707e-33,0.0,0.0,0.0
7,0.033707865,1.0,-4.720696603,-5.558115667999999,-4.6818202071547095,-5.6160032429352595,1,31.805671185429002,7,19,14,-4.771068,-5.7435555,6.727066e-21,5.0030252e-20,1.0700977e-11,1.5607503e-07,0.00048053623,0.009727721,0.24602081,0.73320735,0.010525541,2.3072316e-05,1.4704182e-05,2.0282445e-09,1.0569338e-13,1.2536981e-27,1.917923e-25,4.9158632e-30,6.356726e-29,3.3884156e-38,0.0,0.0
8,0.988764045,0.04494382,-3.308465788,-4.918616618,-3.4125742840208,-4.763597403029951,1,16.8981565329041,4,27,18,-3.5338583,-5.058437,1.0241337e-12,1.4945563e-06,0.05815004,0.83866376,0.09767729,0.005490274,1.7057539e-05,5.31903e-08,8.1087785e-14,1.6820177e-20,1.0622687e-20,7.706811e-19,4.02616e-33,0.0,6.1369483e-37,0.0,1.3973521e-38,0.0,0.0,0.0
9,0.7640449440000001,0.95505618,-4.5921259160000005,-5.723048593,-4.6695500609395895,-5.607762803395821,1,31.6391766083922,7,20,13,-4.5696845,-5.6117053,1.0433933e-25,2.740151e-24,3.9539755e-13,1.5865924e-08,0.00077350566,0.013457598,0.8211283,0.16418304,0.00045749257,3.599376e-08,4.3570893e-08,2.735242e-13,3.9093597e-19,3.4122454e-37,2.118448e-34,0.0,2.459257e-38,0.0,0.0,0.0
