x,y,var1,var2
0,0,-3.56119472,-3.635512239
0.011235955,0,-3.6646126,-3.773621746
0.02247191,0,-3.541629359,-3.837565694
0.033707865,0,-3.881212591,-4.192304966
0.04494382,0,-4.151834463,-4.490577323
0.056179775,0,-4.620559454,-4.798300785
0.06741573,0,-4.603381719,-4.848044671
0.078651685,0,-4.570796647,-5.003534239
0.08988764,0,-4.504311715,-5.009546669
0.101123596,0,-4.386335932,-4.888918162
0.112359551,0,-3.845167433,-4.546532875
0.123595506,0,-3.505247361,-4.458102031
0.134831461,0,-3.638375543,-4.519667046
0.146067416,0,-3.500244833,-4.447504514
0.157303371,0,-3.729772535,-4.597647361
0.168539326,0,-3.960454704,-4.76419477
0.179775281,0,-3.991578286,-4.792174924
0.191011236,0,-3.397137205,-4.536490553
0.202247191,0,-3.392151548,-4.509983673
0.213483146,0,-3.351806202,-4.385518062
0.224719101,0,-3.386062178,-4.232836263
0.235955056,0,-3.087655171,-4.067209542
0.247191011,0,-3.235406255,-3.997910404
0.258426966,0,-3.403681785,-3.997115115
0.269662921,0,-3.48230543,-3.888276848
0.280898876,0,-3.854711475,-4.029620489
0.292134831,0,-3.479430448,-3.785785652
0.303370787,0,-3.512510895,-3.608213165
0.314606742,0,-3.430848311,-3.528559507
0.325842697,0,-3.980492588,-3.79954762
0.337078652,0,-3.772635502,-3.691142723
0.348314607,0,-4.02127961,-3.887193389
0.359550562,0,-3.420862531,-3.666946495
0.370786517,0,-3.134753293,-3.512545811
0.382022472,0,-2.390488052,-3.11713095
0.393258427,0,-2.325559477,-3.015467848
0.404494382,0,-2.278982071,-2.886107505
0.415730337,0,-2.116071984,-2.713262275
0.426966292,0,-1.964505825,-2.509446147
0.438202247,0,-2.160892811,-2.433876142
0.449438202,0,-2.371418745,-2.382288958
0.460674157,0,-2.467822624,-2.521510124
0.471910112,0,-2.46185252,-2.461379356
0.483146067,0,-2.373289786,-2.34917958
0.494382022,0,-1.705122929,-2.157643466
0.505617978,0,-2.213554985,-2.468924036
0.516853933,0,-2.376000022,-2.768871563
0.528089888,0,-2.120111487,-2.678086936
0.539325843,0,-2.350584056,-2.84240452
0.550561798,0,-2.552707679,-3.058636583
0.561797753,0,-2.62689923,-3.128689101
0.573033708,0,-2.781673149,-3.206829998
0.584269663,0,-2.812615173,-3.239137296
0.595505618,0,-3.200137338,-3.499719895
0.606741573,0,-4.166676578,-4.136681552
0.617977528,0,-4.481676678,-4.346333161
0.629213483,0,-4.290878205,-4.280714105
0.640449438,0,-4.773324934,-4.569244454
0.651685393,0,-5.310603843,-4.964246637
0.662921348,0,-5.589227541,-5.022975583
0.674157303,0,-5.046810977,-4.739610505
0.685393258,0,-5.011619608,-4.805841234
0.696629213,0,-5.170821984,-4.911179452
0.707865169,0,-4.977226133,-4.775851805
0.719101124,0,-5.324106807,-4.8571024
0.730337079,0,-5.682173153,-4.958761866
0.741573034,0,-5.981436189,-5.11325618
0.752808989,0,-6.187336373,-5.24083084
0.764044944,0,-6.152880281,-5.119613843
0.775280899,0,-5.782655623,-4.932773813
0.786516854,0,-5.699423782,-4.850451839
0.797752809,0,-5.758871717,-4.85386974
0.808988764,0,-5.448372043,-4.780743253
0.820224719,0,-5.312515971,-4.876223622
