"x","y","var1","var2","proj_var1","proj_var2","threshold","dist_frm_orig","threshold2","constant","class"
0.898876404,0,-2.91699119,-4.270493465,-2.84280901866976,-4.38095190407004,1,11.7265556898348,3,0,3
0.91011236,0,-3.123750458,-4.581232839,-3.12912166379964,-4.57323502769422,1,14.2075763950695,3,0,3
0.921348315,0,-2.942156818,-4.591574944,-3.00875987813244,-4.49240192267164,1,13.1356073957161,3,0,3
0.93258427,0,-3.01849567,-4.650880271,-3.08881868686321,-4.54616817462814,1,13.8439471713605,3,0,3
0.943820225,0,-3.403380307,-4.727132454,-3.38936086303442,-4.7480076301953,1,16.669045113587,4,0,4
0.95505618,0,-3.545413615,-4.834485837,-3.53693245569368,-4.84711441879643,1,18.1521734927033,4,0,4
0.966292135,0,-3.180994638,-4.656390412,-3.20335800503793,-4.62309100095468,1,14.8897037479037,3,0,3
0.97752809,0,-3.290086313,-4.661291437,-3.28080882350698,-4.67510576717544,1,15.6184146936144,3,0,3
0.988764045,0,-3.477566805,-4.821263031,-3.48405465923037,-4.81160251232888,1,17.6134739261381,4,0,4
1,0,-3.964716749,-5.181061429,-3.98630969365454,-5.14890918920038,1,23.0577630928143,5,0,5
0.202247191,0.011235955,-3.103934639,-4.352309478,-3.00951165795897,-4.49290680632167,1,13.1421724382997,3,0,3
0.91011236,0.011235955,-3.132652051,-4.513464935,-3.10389104342055,-4.5562905350915,1,13.9793840650829,3,0,3
0.921348315,0.011235955,-2.933334453,-4.569811689,-2.99260700842896,-4.4815539063688,1,12.9949459849671,3,0,3
0.93258427,0.011235955,-3.109423497,-4.785085883,-3.21359816667809,-4.62996813439632,1,14.9850516158487,3,0,3
0.943820225,0.011235955,-3.370393564,-4.801037887,-3.40083343554306,-4.75571243162649,1,16.7820814606207,4,0,4
0.95505618,0.011235955,-3.351894615,-4.881322883,-3.42524320794022,-4.77210565547922,1,17.0238556809702,4,0,4
0.966292135,0.011235955,-2.881408838,-4.608913181,-2.97491906483023,-4.46967495829052,1,12.8417854864591,3,0,3
0.97752809,0.011235955,-2.99267749,-4.61672428,-3.05521706754396,-4.52360184920928,1,13.5443835700891,3,0,3
0.988764045,0.011235955,-3.152465962,-4.628045439,-3.17057793795155,-4.6010764172498,1,14.5865292731055,3,0,3
1,0.011235955,-3.793864445,-5.020788494,-3.79438399663774,-5.02001487330527,1,20.8909245792369,5,0,5
0.898876404,0.02247191,-3.216095326,-4.489144291,-3.15014102293556,-4.58735130268235,1,14.3990915841485,3,0,3
0.91011236,0.02247191,-3.143306171,-4.545971822,-3.12627882087274,-4.57132581855779,1,14.1817726296341,3,0,3
0.921348315,0.02247191,-3.096084349,-4.678220277,-3.1549441889366,-4.59057703433505,1,14.4430349843347,3,0,3
0.93258427,0.02247191,-3.039055495,-4.777265671,-3.16148335200828,-4.59496863464576,1,14.5029683666434,3,0,3
